Local Time (Timezone : GMT+8h),Chilled Water Rate (L/sec),Cooling Water Temperature (C),Building Load (RT),Chiller Energy Consumption (kWh),Outside Temperature (F),Dew Point (F),Humidity (%),Wind Speed (mph),Pressure (in),Hour,Month,DayOfWeek,Season,IntervalHours,Power_kW,Load_kW,COP
2019-08-18 00:00:00,85.6,31.4,479.6,116.2,82,75,79,13,29.83,0,8,6,2,,232.4,1686.6826232124008,7.257670495750434
2019-08-18 00:30:00,84.3,31.1,460.3,114.5,82,75,79,12,29.83,0,8,6,2,0.5,229.0,1618.807363354187,7.069027787572868
2019-08-18 01:00:00,84.6,31.3,462.4,116.8,82,75,79,12,29.83,1,8,6,2,0.5,233.6,1626.1927543232152,6.961441585287736
2019-08-18 01:30:00,84.8,31.4,458.5,117.0,82,75,79,12,29.83,1,8,6,2,0.5,234.0,1612.4770282378768,6.890927471102038
2019-08-18 02:00:00,84.7,31.4,455.4,117.0,82,75,79,12,29.83,2,8,6,2,0.5,234.0,1601.5747844264538,6.844336685583136
2019-08-18 02:30:00,84.4,31.4,454.3,116.7,82,77,84,12,29.83,2,8,6,2,0.5,233.4,1597.70624629982,6.845356667951242
2019-08-18 03:00:00,86.4,31.5,466.1,119.0,82,75,79,12,29.83,3,8,6,2,0.5,238.0,1639.205109840075,6.887416427899475
2019-08-18 03:30:00,89.1,31.8,477.4,122.6,82,77,84,9,29.83,3,8,6,2,0.5,245.2,1678.9455469591328,6.847249375852908
2019-08-18 04:00:00,89.1,31.8,473.3,122.2,82,77,84,10,29.8,4,8,6,2,0.5,244.4,1664.5264503053154,6.810664690283614
2019-08-18 04:30:00,89.3,31.9,478.8,123.3,82,77,84,12,29.8,4,8,6,2,0.5,246.6,1683.869140938485,6.828342015160118
2019-08-18 05:00:00,87.5,31.9,471.9,121.8,82,77,84,12,29.8,5,8,6,2,0.5,243.6,1659.602856325963,6.8128196072494385
2019-08-18 05:30:00,84.7,31.6,456.1,117.4,82,77,84,10,29.83,5,8,6,2,0.5,234.8,1604.03658141613,6.831501624429855
2019-08-18 06:00:00,84.5,31.6,458.2,117.6,82,77,84,10,29.83,6,8,6,2,0.5,235.2,1611.4219723851584,6.851283896195402
2019-08-18 06:30:00,84.4,31.5,460.1,117.8,82,75,79,10,29.83,6,8,6,2,0.5,235.6,1618.1039927857082,6.868013551722021
2019-08-18 07:00:00,88.4,31.8,487.6,121.9,82,75,79,10,29.86,7,8,6,2,0.5,243.8,1714.8174459515567,7.033705684788994
2019-08-18 07:30:00,96.2,32.6,551.9,130.1,82,77,84,10,29.86,7,8,6,2,0.5,260.2,1940.9510837175228,7.459458430889788
2019-08-18 08:00:00,98.0,32.8,569.2,129.5,84,77,79,13,29.86,8,8,6,2,0.5,259.0,2001.7926378909478,7.7289291038260535
2019-08-18 08:30:00,95.2,32.6,559.3,124.8,86,77,74,12,29.89,8,8,6,2,0.5,249.6,1966.975794751242,7.880511998202091
2019-08-18 09:00:00,95.8,32.7,561.9,125.7,86,77,74,12,29.89,9,8,6,2,0.5,251.4,1976.1196121414678,7.860459873275528
2019-08-18 09:30:00,97.6,32.8,576.0,129.9,88,77,70,10,29.89,9,8,6,2,0.5,259.8,2025.7072372192301,7.797179512006275
2019-08-18 10:00:00,96.8,33.0,575.8,130.3,88,77,70,10,29.89,10,8,6,2,0.5,260.6,2025.0038666507512,7.7705443846920605
2019-08-18 10:30:00,99.2,33.4,596.7,136.8,88,77,70,12,29.89,10,8,6,2,0.5,273.6,2098.5060910567963,7.669978402985366
2019-08-18 11:00:00,102.8,33.7,611.8,143.4,90,75,62,10,29.86,11,8,6,2,0.5,286.8,2151.610568976953,7.50212890159328
2019-08-18 11:30:00,102.6,33.4,602.6,139.2,91,72,52,14,29.86,11,8,6,2,0.5,278.4,2119.255522826924,7.612268400958779
2019-08-18 12:00:00,102.1,33.3,595.9,137.7,90,72,55,12,29.86,12,8,6,2,0.5,275.4,2095.6926087828806,7.609631840170228
2019-08-18 12:30:00,100.7,32.9,582.2,132.0,90,72,55,12,29.86,12,8,6,2,0.5,264.0,2047.5117248420763,7.75572623046241
2019-08-18 13:00:00,100.2,32.8,578.8,130.5,91,72,52,10,29.83,13,8,6,2,0.5,261.0,2035.5544251779347,7.7990591002986
2019-08-18 13:30:00,100.5,33.0,582.9,133.9,90,70,52,13,29.83,13,8,6,2,0.5,267.8,2049.9735218317524,7.654867519909456
2019-08-18 14:00:00,100.0,32.9,581.2,130.5,91,70,49,14,29.8,14,8,6,2,0.5,261.0,2043.9948719996817,7.831397977010274
2019-08-18 14:30:00,100.4,33.2,586.6,134.6,91,68,46,14,29.8,14,8,6,2,0.5,269.2,2062.985877348612,7.663394789556509
2019-08-18 15:00:00,100.4,33.2,590.4,134.7,91,59,34,17,29.8,15,8,6,2,0.5,269.4,2076.349918149711,7.707312242575022
2019-08-18 15:30:00,99.0,32.3,564.2,125.1,91,63,38,15,29.8,15,8,6,2,0.5,250.2,1984.2083736789752,7.930489103433155
2019-08-18 19:00:00,93.2,31.5,518.7,114.9,84,72,66,12,29.8,19,8,6,2,0.5,229.8,1824.1915693500257,7.938170449739014
2019-08-18 19:30:00,90.4,31.0,496.9,116.2,84,73,70,12,29.8,19,8,6,2,0.5,232.4,1747.5241773858254,7.519467200455359
2019-08-18 20:00:00,90.2,31.1,503.7,111.3,84,73,70,12,29.83,20,8,6,2,0.5,222.6,1771.4387767141081,7.957945987035527
2019-08-18 20:30:00,90.1,31.0,502.6,111.0,84,73,70,10,29.83,20,8,6,2,0.5,222.0,1767.5702385874743,7.962028101745379
2019-08-18 21:30:00,88.6,30.3,476.0,110.2,82,73,74,9,29.86,21,8,6,2,0.5,220.4,1674.0219529797805,7.5953809118864815
2019-08-18 22:00:00,91.7,31.0,504.4,116.1,82,73,74,9,29.86,22,8,6,2,0.5,232.2,1773.9005737037842,7.639537354452129
2019-08-19 00:00:00,89.3,30.9,481.5,110.0,82,73,74,9,29.89,0,8,0,2,0.5,220.0,1693.3646436129502,7.697112016422501
2019-08-19 00:30:00,82.2,30.1,429.2,104.5,82,73,74,8,29.86,0,8,0,2,0.5,209.0,1509.4332399557181,7.222168612228317
2019-08-19 01:00:00,83.0,30.4,435.5,106.9,82,75,79,8,29.86,1,8,0,2,0.5,213.8,1531.5894128628033,7.163654877749313
2019-08-19 01:30:00,82.9,30.5,434.0,108.0,82,73,74,9,29.86,1,8,0,2,0.5,216.0,1526.3141335992116,7.0662691370333865
2019-08-19 02:00:00,82.7,30.4,428.2,105.6,82,73,74,7,29.86,2,8,0,2,0.5,211.2,1505.9163871133235,7.130285923832025
2019-08-19 02:30:00,82.4,30.1,423.9,103.7,82,73,74,8,29.86,2,8,0,2,0.5,207.4,1490.7939198910271,7.188013114228674
2019-08-19 03:00:00,84.5,30.1,434.9,104.1,81,73,79,8,29.86,3,8,0,2,0.5,208.2,1529.4793011573665,7.3462022149729425
2019-08-19 03:30:00,87.0,30.3,445.7,108.1,81,73,79,7,29.83,3,8,0,2,0.5,216.2,1567.4613118552272,7.25005232125452
2019-08-19 04:00:00,86.8,30.3,439.3,107.5,81,75,84,6,29.83,4,8,0,2,0.5,215.0,1544.9534536639026,7.185830017041408
2019-08-19 04:30:00,87.0,30.3,442.1,107.7,81,75,84,6,29.83,4,8,0,2,0.5,215.4,1554.8006416226071,7.218201678842187
2019-08-19 05:00:00,87.3,30.4,446.0,108.7,82,75,79,6,29.83,5,8,0,2,0.5,217.4,1568.5163677079456,7.21488669598871
2019-08-19 05:30:00,88.9,30.8,471.9,114.7,82,75,79,7,29.86,5,8,0,2,0.5,229.4,1659.602856325963,7.234537298718235
2019-08-19 06:00:00,88.6,30.9,466.7,114.5,82,75,79,7,29.86,6,8,0,2,0.5,229.0,1641.3152215455116,7.1673153779279986
2019-08-19 06:30:00,92.7,31.4,514.0,120.0,82,75,79,7,29.86,6,8,0,2,0.5,240.0,1807.6623609907715,7.531926504128214
2019-08-19 07:00:00,102.1,32.2,581.9,129.8,82,75,79,8,29.86,7,8,0,2,0.5,259.6,2046.4566689893577,7.8831150577402065
2019-08-19 07:30:00,125.7,30.5,756.9,208.8,82,75,79,7,29.86,7,8,0,2,0.5,417.6,2661.9059164083947,6.374295776840025
2019-08-19 08:00:00,118.9,29.8,679.8,178.7,82,73,74,9,29.86,8,8,0,2,0.5,357.4,2390.756562259779,6.689302076832062
2019-08-19 08:30:00,114.3,29.8,669.0,174.4,84,75,74,8,29.89,8,8,0,2,0.5,348.8,2352.7745515619185,6.7453398840651335
2019-08-19 09:00:00,112.9,29.8,661.4,173.8,84,75,74,8,29.89,9,8,0,2,0.5,347.6,2326.04646995972,6.691733227732221
2019-08-19 09:30:00,114.6,30.0,658.9,172.5,84,75,74,9,29.89,9,8,0,2,0.5,345.0,2317.254337853734,6.7166792401557505
2019-08-19 10:00:00,117.5,30.3,665.3,172.9,86,73,66,10,29.89,10,8,0,2,0.5,345.8,2339.7621960450588,6.766229601055693
2019-08-19 10:30:00,119.1,30.5,687.6,179.1,86,72,62,10,29.89,10,8,0,2,0.5,358.2,2418.188014430456,6.750943647209537
2019-08-19 11:00:00,119.7,30.5,683.9,177.5,88,72,58,10,29.89,11,8,0,2,0.5,355.0,2405.175658913596,6.77514270116506
2019-08-19 11:30:00,120.2,30.2,674.5,173.9,90,72,55,9,29.86,11,8,0,2,0.5,347.8,2372.1172421950882,6.820348597455688
2019-08-19 12:00:00,120.1,30.2,671.7,174.0,90,72,55,6,29.86,12,8,0,2,0.5,348.0,2362.2700542363837,6.7881323397597235
2019-08-19 12:30:00,119.3,30.1,663.8,171.9,90,72,55,7,29.83,12,8,0,2,0.5,343.8,2334.486916781467,6.790246994710491
2019-08-19 13:00:00,119.6,30.2,665.9,173.8,90,72,55,7,29.83,13,8,0,2,0.5,347.6,2341.8723077504956,6.737262105151022
2019-08-19 13:30:00,119.3,30.0,663.8,170.9,90,70,52,6,29.8,13,8,0,2,0.5,341.8,2334.486916781467,6.829979276715818
2019-08-19 14:00:00,116.4,29.7,634.8,163.8,90,70,52,9,29.8,14,8,0,2,0.5,327.6,2232.4981843520263,6.814707522442083
2019-08-19 15:00:00,123.4,30.6,741.0,189.2,90,72,55,7,29.77,15,8,0,2,0.5,378.4,2605.9879562143224,6.886860349403601
2019-08-19 15:30:00,120.3,30.1,673.9,173.7,90,72,55,9,29.77,15,8,0,2,0.5,347.4,2370.0071304896514,6.822127606475681
2019-08-19 16:00:00,119.6,29.7,650.0,165.9,91,70,49,9,29.77,16,8,0,2,0.5,331.8,2285.954347556423,6.889554995649255
2019-08-19 16:30:00,118.9,29.7,657.8,167.5,91,68,46,7,29.77,16,8,0,2,0.5,335.0,2313.3857997270998,6.905629252916715
2019-08-19 17:00:00,118.0,29.8,646.9,167.7,90,68,49,7,29.77,17,8,0,2,0.5,335.4,2275.052103745,6.783101084511031
2019-08-19 17:30:00,116.6,29.5,646.7,163.8,90,68,49,9,29.77,17,8,0,2,0.5,327.6,2274.3487331765214,6.942456450477781
2019-08-19 18:30:00,116.9,29.8,692.8,178.1,88,70,55,7,29.77,18,8,0,2,0.5,356.2,2436.4756492109072,6.840189919177169
2019-08-19 19:00:00,107.8,29.3,624.6,159.2,86,73,66,12,29.8,19,8,0,2,0.5,318.4,2196.6262853596027,6.8989519012550335
2019-08-19 22:00:00,94.3,31.9,542.6,119.4,84,77,79,7,29.83,22,8,0,2,0.5,238.8,1908.244352283254,7.990972999511114
2019-08-20 00:00:00,90.7,31.9,507.7,116.0,82,77,84,9,29.83,0,8,1,2,0.5,232.0,1785.506188083686,7.696147362429682
2019-08-20 00:30:00,87.1,31.8,483.5,115.3,82,77,84,10,29.83,0,8,1,2,0.5,230.6,1700.3983492977393,7.373800300510578
2019-08-20 01:00:00,87.2,31.9,485.3,114.0,82,77,84,10,29.8,1,8,1,2,0.5,228.0,1706.7286844140494,7.485652124623024
2019-08-20 01:30:00,87.0,31.9,483.1,114.1,82,77,84,10,29.8,1,8,1,2,0.5,228.2,1698.9916081607817,7.445186714113855
2019-08-20 02:00:00,86.9,31.6,480.8,112.0,82,77,84,9,29.8,2,8,1,2,0.5,224.0,1690.9028466232742,7.548673422425331
